"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"KPNA2"	1.66088069631071	3.70031159956749	9.54085058963617	2.09573301616091e-20	5.90428376180112e-18	35.5843768748135
"TTK"	0.980037417130024	2.41564271961433	9.53664667603689	2.17258915109164e-20	6.01879614490755e-18	35.5491763176621
"CDCA3"	1.24631419162335	3.08475380812948	9.5270729507931	2.35819352294605e-20	6.42588405547693e-18	35.4690576460016
"DSCC1"	1.7995898134153	2.27026987982369	9.52144715733118	2.47450006363754e-20	6.63405484802955e-18	35.4220067150517
"C9orf68"	-1.67761052035169	-1.31818756851928	-9.48812637347208	3.28950796200604e-20	8.67907957848642e-18	35.1437725691926
"PTTG1"	1.10801267901349	3.0691605776281	9.46303811742616	4.07388723001309e-20	1.05389571457813e-17	34.9347812361796
"DONSON"	2.05710731190582	3.33181161839945	9.4616810230614	4.12123820524478e-20	1.05389571457813e-17	34.9234885670491
"CENPI"	1.45014414008057	2.85830502358953	9.45975367449717	4.18942449312013e-20	1.05510021097944e-17	34.9074528562567
"LRIG1"	-1.96530476064038	-1.33453319057025	-9.45689993216495	4.29244231848858e-20	1.06491009280473e-17	34.8837141323942
"SUV39H2"	2.15086654781191	2.13894898752479	9.45028840641558	4.54085422780913e-20	1.10997174962711e-17	34.8287378641854
"CDKN3"	1.01576946838723	2.89536152917355	9.44065443867084	4.92852466071533e-20	1.18727444797696e-17	34.748682891733
"C20orf24"	1.65295200402326	2.46958208205096	9.42360450886931	5.69661280605408e-20	1.35270140088901e-17	34.6071596296213
"RAD51AP1"	1.21865781718546	2.64270996281267	9.42079332711771	5.83417257195932e-20	1.36585375339588e-17	34.5838444991595
"PDHA1"	0.920765569902548	-0.506174138243802	9.41551153980855	6.10158431350773e-20	1.40861853415452e-17	34.5400535390503
"CBX2"	2.53545306112086	2.69968540792149	9.40595442569012	6.61666873207738e-20	1.50660640636425e-17	34.4608647785567
"DEPDC1B"	1.03855341082406	2.75994128435399	9.40121466286674	6.88786796791861e-20	1.5471640724695e-17	34.4216151040962
"CALCOCO1"	-1.84839137762708	-4.15463340138705	-9.34413391141561	1.11597027192515e-19	2.47328771465864e-17	33.9501466473481
"UBE2S"	1.28006064848429	2.97070947912534	9.33789393768861	1.17625956770508e-19	2.57260349136762e-17	33.8987426190095
"CDC25A"	1.23138965770838	2.15126765319972	9.32610037064912	1.29914882851356e-19	2.80447426331848e-17	33.8016622810143
"CACNA1D"	-0.949005750612075	0.636029015792011	-9.30672602934498	1.52919953199698e-19	3.25876341292997e-17	33.642388416137
"DBF4"	1.41129820488631	2.33272192047658	9.30342445385895	1.57223994346526e-19	3.30807244813666e-17	33.6152724960311
"KIF18B"	0.881131438238243	2.61237929548209	9.29725662530031	1.65588416057463e-19	3.44051331463394e-17	33.5646361817007
"C10orf26"	-1.76958451791132	-0.882360214190083	-9.28851710796514	1.78199947125557e-19	3.65683891496421e-17	33.4929320596685
"DNMT3B"	1.71701548836319	1.99928867004545	9.27136382177604	2.05782231444473e-19	4.17135640374394e-17	33.3523503476708
"NISCH"	-1.30289219531107	-2.01181252165565	-9.26094218940488	2.24562510725046e-19	4.49720247382135e-17	33.2670383415432
"FBXO45"	1.58670200423988	2.45809684403306	9.24323812023591	2.60432973548991e-19	5.15347248372778e-17	33.1222848388996
"HJURP"	0.945464985866344	3.05830153928926	9.24138024064277	2.64511372159721e-19	5.16520260794139e-17	33.107106916182
"ESPL1"	0.869305867766144	2.34574151105096	9.2401527110441	2.67240659537336e-19	5.16520260794139e-17	33.0970799461691
"CENPO"	1.30060402196773	2.29291906456198	9.23477185408498	2.79537169300351e-19	5.28272175133964e-17	33.0531392439931
"NTN4"	-1.99268310914206	-1.90459393196006	-9.23471191843977	2.79677243483268e-19	5.28272175133964e-17	33.0526499159786
"NXNL2"	-1.15656323627308	0.00750927424517907	-9.2221508385407	3.10620533754482e-19	5.80127473265955e-17	32.9501536134195
"LRP8"	2.10352196523591	2.37322271101102	9.20685000212641	3.52922187505367e-19	6.51808066746024e-17	32.8254498016045
"RACGAP1"	1.81350214416	4.12576774953168	9.18961527615946	4.07428331674089e-19	7.44205904295243e-17	32.6851800128081
"KIF20A"	0.74588852869903	2.59680855181267	9.11312290991043	7.68757672215304e-19	1.38894456821335e-16	32.0651309308897
"KIAA1524"	1.40732551683843	2.66587223471212	9.09784317787322	8.72281078975151e-19	1.55903828975537e-16	31.9417645334438
"C15orf23"	1.37991975014893	2.26217934087879	9.0895210135947	9.3435098085258e-19	1.65221085146081e-16	31.8746415733261
"NEIL3"	1.00708408594438	2.96174018380165	9.08194248343694	9.94666922796315e-19	1.74035300954951e-16	31.813558818712
"NOSTRIN"	-2.81874685694045	-2.22495022460331	-9.06361741995563	1.15690372646888e-18	1.97873349131499e-16	31.6660263543881
"FAM72B"	1.50822734915758	3.12072020687879	9.06278040805022	1.16490898887558e-18	1.97873349131499e-16	31.6592933399861
"C10orf32"	-1.91366336356332	-1.48641991240496	-9.06260205574032	1.16662183942287e-18	1.97873349131499e-16	31.6578587185017
"CBX7"	-1.88001085022805	-4.33596920412948	-9.05805585648851	1.21113382696104e-18	2.03348146179257e-16	31.6212977951498
"UBE2T"	1.16807323086674	3.72751636164738	9.0440936824239	1.35861432708919e-18	2.25828873448765e-16	31.5091039062749
"E2F1"	1.24006776984732	2.85608931963499	9.0339880415584	1.47631456755135e-18	2.4296337368157e-16	31.4279852341453
"BUB1B"	0.784007606349942	2.57210801630165	9.02414398818303	1.60065432408262e-18	2.60843884067659e-16	31.3490356890612
"PSMG1"	1.9886523927666	1.16777152669697	9.01275035026822	1.75754834074594e-18	2.83630762328923e-16	31.2577439489958
"KIF23"	0.90148531472758	2.68693420050964	8.96778265657751	2.53977015448604e-18	4.05923649114106e-16	30.8983365445579
"TRIP13"	1.39970025161035	3.16542848491873	8.95084286476302	2.91651621564755e-18	4.61698405109462e-16	30.763315954312
"TUBA1B"	1.09748228566228	1.69689897969697	8.89851482834052	4.46545504806597e-18	7.00233903858043e-16	30.3475181207984
"CCNB1"	1.29523869413278	3.70183630834848	8.89606133842298	4.55532203233489e-18	7.07650119826827e-16	30.3280706021034
"PHYHD1"	-3.82505820223903	-3.36057806540771	-8.88781480556992	4.87069172944174e-18	7.4963553635908e-16	30.2627361717184
"CDCA2"	1.04333240584221	2.44195514100689	8.88110299635248	5.1432342856646e-18	7.84319635746028e-16	30.209596659471
"EFCAB6"	-1.36187270275362	-0.982502676472452	-8.86588505647045	5.81831707341251e-18	8.79200603584207e-16	30.0892306235199
"BLM"	1.15627632163609	2.38836739019559	8.85405582251636	6.40297824815384e-18	9.58831571538857e-16	29.9957818694688
"RAN"	1.45569628887772	2.28704601276171	8.84271036314532	7.01819210391525e-18	1.04157490313642e-15	29.9062489198128
"CDK1"	1.10725557001906	3.53704040198347	8.82936823377436	7.81680599356732e-18	1.14983140907147e-15	29.8010771609509
"C7orf63"	-2.16878892902922	-2.10217704608264	-8.82589530848782	8.03902284775272e-18	1.16208920717771e-15	29.7737221235446
"CIRBP"	-1.59308341830533	-1.53546229848072	-8.82563430669968	8.05597338261543e-18	1.16208920717771e-15	29.7716666516586
"SUV39H1"	1.63256811944736	1.78380083774931	8.82480792742225	8.10987534788922e-18	1.16208920717771e-15	29.7651589748591
"GTSE1"	0.995576852715151	2.91231352720248	8.80785760790574	9.29762492537652e-18	1.3208984744411e-15	29.6317845234291
"PSMD7"	1.56729578289683	0.339032575126722	8.80086888252491	9.83602526534702e-18	1.38554586407287e-15	29.5768534298318
"RAI2"	-2.58554697327423	-2.70560545037879	-8.79729197274955	1.01233983434652e-17	1.41404308626116e-15	29.5487526395374
"H2AFZ"	1.79423474905928	3.95637689821625	8.77949693876135	1.16812036844881e-17	1.61804139702968e-15	29.4090886155865
"TBC1D7"	1.49298437824157	2.10486083975482	8.77613146007998	1.20014226913143e-17	1.64865824772749e-15	29.3827003227038
"XPO5"	1.97379017392427	2.47060175041873	8.75651215265544	1.40485524471475e-17	1.91405769488923e-15	29.2290301368588
"NCAPG"	0.89110724822152	2.76217143551515	8.75443961639732	1.42840069998408e-17	1.92613776916259e-15	29.2128129821112
"ABAT"	-1.92683977734794	0.620572794936639	-8.75369999993233	1.43689738524944e-17	1.92613776916259e-15	29.2070263903615
"SPAG5"	1.25090800015561	3.51907348246832	8.75207077666163	1.45579053342772e-17	1.93585201973084e-15	29.1942811073545
"SNRPC"	1.55864914123991	2.24288435376859	8.74590349258113	1.52956012864544e-17	2.01780543320194e-15	29.1460522717564
"E2F8"	0.881166774045034	2.37643158441736	8.73472683149072	1.67278859341658e-17	2.18937732281657e-15	29.0587194709382
"C6orf153"	1.96659050763691	2.56163227731956	8.73119438266173	1.72075664083296e-17	2.23456381905667e-15	29.0311361789042
"PGPEP1"	-2.49812223802804	-1.61858877539118	-8.72106172783058	1.86602639035621e-17	2.40442563259697e-15	28.9520648604557
"MND1"	0.982896715710552	2.12765606760606	8.71897425103885	1.89742740372413e-17	2.4260798695925e-15	28.935784212464
"ORC1L"	0.960310267641987	2.01744115949725	8.71255232140106	1.99734247245741e-17	2.5343379066555e-15	28.8857180478395
"PSAT1"	3.41515132375314	-2.03716058063223	8.71039291063421	2.03209446701054e-17	2.55889956292797e-15	28.8688897096137
"LZTFL1"	-1.40890596302398	-0.4500672304573	-8.70789642837847	2.07301663694658e-17	2.59080319844557e-15	28.8494387675766
"RFC4"	1.57851081125224	2.42548821983196	8.67858457061937	2.61892529212723e-17	3.24864001535364e-15	28.6213974617827
"RAD54L"	0.927631728219461	2.59766034813774	8.6714933319478	2.77104023086012e-17	3.41186894202644e-15	28.5663223086064
"EZH2"	0.951104654836948	2.52584133937466	8.66772511196247	2.8553935070446e-17	3.4409144391151e-15	28.5370707048203
"EXO1"	0.907637115553972	2.81074917522727	8.6672617138961	2.86594059588625e-17	3.4409144391151e-15	28.5334741904414
"FANCA"	0.926586039870793	1.80325399962121	8.66648695424481	2.88366046347673e-17	3.4409144391151e-15	28.527461491583
"CENPE"	1.22984619307362	3.22989883880028	8.66615927914122	2.89118741528575e-17	3.4409144391151e-15	28.5249186252611
"ATP6AP1L"	-1.67402512299543	-0.476465975724518	-8.66585756787017	2.89813513100778e-17	3.4409144391151e-15	28.522577315666
"OIP5"	0.91871051263908	2.83560023827961	8.65929122119206	3.05349853095508e-17	3.59966330365499e-15	28.4716381678021
"CCT5"	2.29949443667063	3.5778788842011	8.65482145825082	3.16393677287294e-17	3.70358852385169e-15	28.4369813936245
"FLJ36777"	-1.49762476482092	-1.79478419156749	-8.64545043626118	3.40845172555569e-17	3.96190801274033e-15	28.3643692765612
"VAMP2"	-1.97775380190297	-3.95459597456061	-8.62736535938586	3.93433455176803e-17	4.54142423052002e-15	28.2244159851487
"CYCS"	1.22477735725473	1.26982087469284	8.61693737561817	4.27322018988093e-17	4.89858386180695e-15	28.1438260325103
"CAPN8"	-1.05681418979642	0.00419897159090908	-8.60697808992544	4.62375089567065e-17	5.26410872519435e-15	28.0669321830161
"NUP93"	2.35890636512047	1.60864453112534	8.60322036365591	4.76326826277882e-17	5.38605748734078e-15	28.0379382249916
"C17orf68"	-1.66195189616707	-1.02241597804132	-8.592435262331	5.18722679247082e-17	5.8258164692196e-15	27.9547794168624
"KIF14"	0.944724255189425	2.90559491974931	8.57631626287348	5.89129436483016e-17	6.57215402229577e-15	27.8306515635485
"BTRC"	-1.79388294060484	0.403555834932507	-8.56638228143235	6.37141062487645e-17	7.06037249377975e-15	27.7542472285075
"ATP5C1"	1.53340657790557	1.28776777285124	8.55977527559678	6.71193861513766e-17	7.38846646760385e-15	27.703471272026
"HSP90AB1"	1.6342870712194	1.55115232736364	8.53356217917832	8.2494659253285e-17	9.02122517176383e-15	27.5023336971573
"BEND3"	1.37388474072691	1.12323336137052	8.52824746286396	8.60124373898636e-17	9.34443617185825e-15	27.4616142784491
"C14orf45"	-1.41130107142991	-0.0398642180041322	-8.52189559758326	9.04115680735786e-17	9.75857847090275e-15	27.4129757406217
"XPOT"	1.19087159139367	1.26732624933471	8.51135511714246	9.82072623215024e-17	1.05316200923098e-14	27.3323286956951
"PIF1"	1.47212437486435	2.13002142451377	8.49833687180514	1.08757252625415e-16	1.15882246996131e-14	27.2328362933603
"SPATA4"	-1.34953479597623	-0.32544900903719	-8.49244174295653	1.13895819315625e-16	1.20584478258873e-14	27.1878234710487
"NDC80"	0.863790469404799	2.81563223489118	8.47184191496532	1.33807934263759e-16	1.40769334388114e-14	27.0307319468326
"HSPA14"	1.48597388030929	1.81980567944077	8.46814012092466	1.37734242471565e-16	1.4398858983411e-14	27.0025356226945
"EPR1"	0.738285945387896	2.21931522980303	8.45669812272749	1.50604053282482e-16	1.56458785853839e-14	26.9154463996497
"FANCB"	1.13301345346433	1.41052376769421	8.45236123363499	1.55786648432149e-16	1.60837619269514e-14	26.8824619353437
"CCNF"	0.991509598439221	2.64071952300826	8.43502189806398	1.78326880202784e-16	1.82972185353745e-14	26.7507250113949
"RAD51"	1.06260887863999	3.07274730826584	8.42801584936701	1.88322514574243e-16	1.92042750751722e-14	26.6975588754469
"C21orf45"	1.34145954377951	2.33630796702204	8.42310115019007	1.95662718592362e-16	1.98311323685502e-14	26.6602847686922
"RRM2"	0.740021764790341	2.51654926539256	8.41983020244409	2.00703860345135e-16	2.02187852524657e-14	26.6354870933124
"CYB5D2"	-2.47898285748347	-1.97273573005372	-8.41533271699378	2.07845406155372e-16	2.08120863922565e-14	26.6014036946823
"POLQ"	1.02374869875003	2.67207744398898	8.41011705814036	2.16442126367627e-16	2.1543119907082e-14	26.5618964443977
"PRIM2"	1.54904550254012	2.34196604388981	8.40764303924043	2.20641836103993e-16	2.18304083316701e-14	26.5431634227594
"GARS"	2.23021056598875	3.47211844019008	8.40647620215135	2.22650407549593e-16	2.18987874218304e-14	26.5343298187645
"LMNB1"	0.836670948213926	2.55166322160193	8.40108476016323	2.32168166934884e-16	2.27005839458332e-14	26.4935266720765
"DYNLRB2"	-1.28304401363763	-0.153736550606061	-8.38750378260057	2.57961343438398e-16	2.49814181946182e-14	26.3908392485536
"RBM5"	-1.28233568053059	-1.8738547661708	-8.38723418562084	2.58501018498034e-16	2.49814181946182e-14	26.3888021734245
"SPC25"	0.754699751899588	2.86388652726033	8.38522973858647	2.6254861146846e-16	2.52259134094147e-14	26.3736582547408
"CCNDBP1"	-1.96632896677818	-3.15669465099449	-8.37979037989568	2.73850465761885e-16	2.61605887465175e-14	26.3325780043099
"FRY"	-2.08017596942758	-2.35559179359229	-8.3748862178336	2.84451454474914e-16	2.70180118644687e-14	26.2955585448422
"FGD3"	-1.40864094673218	1.43857295977686	-8.36624456562921	3.04126864842022e-16	2.87227087920687e-14	26.2303696713794
"TENC1"	-0.953737170152918	-2.39939141353995	-8.35825906655568	3.23500283169243e-16	3.03797836544585e-14	26.1701797037566
"CHEK1"	1.71537359774343	2.63615936350689	8.34138125245311	3.68546922726795e-16	3.44156570200268e-14	26.043120251493
"PRC1"	1.30172729761628	3.82469535898623	8.30924503144687	4.72110740967867e-16	4.38403616556865e-14	25.8017770863582
"NEK10"	-1.01476746162838	-0.630482750296143	-8.29791542875109	5.15088476735688e-16	4.75655592238923e-14	25.7168747183079
"SLC7A5"	1.01510639161746	1.54333825482369	8.29465880217114	5.28141736406309e-16	4.85015024450037e-14	25.6924877109845
"C19orf36"	-1.23371329120101	-0.457983811870523	-8.27066771451786	6.34911302311648e-16	5.79862399287045e-14	25.5130756183571
"BTG2"	-1.191165758428	-1.06223747083884	-8.25926123838054	6.92892623955125e-16	6.28266169524855e-14	25.4279252500009
"CIRH1A"	2.04517270754106	-1.21031666958127	8.25877639895925	6.95469709978182e-16	6.28266169524855e-14	25.4243080304455
"C6orf97"	-2.16835592378989	-0.827272913639118	-8.25288686162412	7.27540529568331e-16	6.53685334188368e-14	25.3803822327623
"WDHD1"	1.24357222686487	2.33040256798485	8.24684232565098	7.61973382050989e-16	6.80942019164061e-14	25.3353273344923
"BYSL"	1.2833160259576	1.81400665991598	8.23969073747783	8.04795047133748e-16	7.15363811414821e-14	25.2820559021636
"KIF13B"	-1.93273140143214	-0.954679585590909	-8.23456527537431	8.36937955077803e-16	7.39977802622513e-14	25.2439003755124
"TAF11"	2.04647401693978	1.70778216324518	8.22136005718027	9.25706733550151e-16	8.10497877784323e-14	25.1456871116631
"EIF2S2"	1.83445779081762	1.70768821899174	8.22125478723247	9.26450467928176e-16	8.10497877784323e-14	25.1449046946868
"PCSK4"	-1.08938818044615	0.762870066493113	-8.21969667420504	9.37527797455979e-16	8.12452648657631e-14	25.133325017262
"FANK1"	-0.942444078748903	0.326062453398072	-8.2192789028618	9.40520085905974e-16	8.12452648657631e-14	25.1302205080088
"MKI67"	0.744555735472279	2.45638578607438	8.21888523771086	9.43348340698609e-16	8.12452648657631e-14	25.1272952542668
"C10orf79"	-0.919123765199921	-0.138727527650138	-8.21623341502963	9.62620135392352e-16	8.24776901571736e-14	25.1075930660801
"C1orf106"	1.00860328901355	0.354472659336088	8.20708151008454	1.03216382788117e-15	8.79827033181581e-14	25.0396377835325
"KIAA0141"	-1.86427522494713	-2.43954581586088	-8.20572987689074	1.04284647129604e-15	8.8379709258895e-14	25.0296068682936
"CENPL"	1.76224786176361	4.19971531953995	8.20515094971721	1.04745534376142e-15	8.8379709258895e-14	25.0253108774515
"RANBP1"	1.85020450610695	2.04713128135262	8.19649397962541	1.11882092090408e-15	9.39244512488264e-14	24.9611008494143
"CYB5D1"	-1.81655559083634	-0.567004170133609	-8.17053150433316	1.36289476203913e-15	1.13839380575952e-13	24.7688701842805
"EGOT"	-1.0627264187457	-0.528170191377411	-8.16716788110254	1.39813660379988e-15	1.16199133141808e-13	24.7440023356923
"PIR"	1.13631625453437	-0.507332607889807	8.16650180788843	1.40522123049837e-15	1.16206901956935e-13	24.7390789486329
"KIF11"	0.900276460333004	2.91491321176033	8.15641645574288	1.51692526753377e-15	1.24823424737358e-13	24.6645721625721
"NSDHL"	1.27506409719871	1.23560661808264	8.14329418300442	1.67547270277877e-15	1.37190676185166e-13	24.5677441554237
"SUSD3"	-1.21088466186489	0.870169364331956	-8.14012738845793	1.71612117342478e-15	1.39830226199347e-13	24.5443960685411
"TBRG4"	1.10140870452905	1.44440573943664	8.13819077093108	1.74145727924476e-15	1.40678488044641e-13	24.5301215256287
"ASPM"	0.763250954664824	2.69322644921212	8.13803898431524	1.74345858122946e-15	1.40678488044641e-13	24.5290028464604
"MAP3K1"	-0.97984427510359	-0.0371988010523416	-8.126309805658	1.90517140443928e-15	1.52984343403815e-13	24.4426103126216
"POP1"	1.72781906534201	2.25120768092837	8.11995774705409	1.99883800653242e-15	1.59734064156644e-13	24.3958667636876
"TCF19"	1.51985000049515	2.07674870330303	8.11828465640696	2.02425615255985e-15	1.60991319463396e-13	24.3835598744227
"ZMYND10"	-1.09722488347291	1.28516821776033	-8.11051134733277	2.14659734524446e-15	1.69431046972846e-13	24.3264087687662
"VBP1"	1.17951458955679	1.25337063843802	8.11025455041296	2.15076109440925e-15	1.69431046972846e-13	24.3245215172843
"FAM114A2"	-2.05272224044258	-0.267331274443526	-8.10835642929634	2.18178572247669e-15	1.71064350372677e-13	24.3105733901318
"PSMA2"	1.41074911802801	1.37026058123691	8.10707275213571	2.20301722235667e-15	1.71817679264256e-13	24.3011419737017
"PSMA7"	1.10620374818102	1.31343634142286	8.10652928014352	2.21206734223022e-15	1.71817679264256e-13	24.297149357467
"EBP"	1.17585969006448	1.88277383518595	8.10590629590672	2.22248667189954e-15	1.71824062606112e-13	24.2925728785236
"C6orf217"	-1.35152241027381	-1.28091726467218	-8.10086654144456	2.30857583497615e-15	1.77498128652326e-13	24.2555613027357
"DNAH7"	-1.02753825946705	-0.338554751435262	-8.10036988244845	2.31723582706983e-15	1.77498128652326e-13	24.251914913258
"PSMC2"	1.22765761371061	1.65755672358264	8.09272021333028	2.45474015270828e-15	1.87168306506041e-13	24.1957757885607
"WDR65"	-1.18090266959275	0.580924791176309	-8.08798720208037	2.54381684956859e-15	1.93074537322051e-13	24.1610634386448
"CCT6A"	1.94532257829819	2.97440960320937	8.08065383244654	2.6881701309937e-15	2.02769073074375e-13	24.1073132092944
"FEN1"	1.43817390162115	3.19664899712534	8.08027006332337	2.69594303630351e-15	2.02769073074375e-13	24.1045014759517
"APH1B"	-2.06922260979769	-1.72266877970386	-8.07871586066993	2.72764945665358e-15	2.03795796218491e-13	24.0931155495562
